Base fee,Every block has a reserve price known as the 'base fee'. It is the minimum gas fee a user must pay to include a transaction in the next block.,,,Blockchain term,基础费用,Frais de base,Grundgebühr,Biaya dasar,Commissione di base,기본 요금,کارمزد پایه,Taxa base,Базовая комиссия,tarifa base,Batayang bayad,ค่าแก๊สพื้นฐาน,Baz ücret,Phí cơ sở,الحد الأدنى للرسوم,基本費用,base fee,Βασική αμοιβή,बेस फी,alapdíj,基本料金,Opłata podstawowa,Базова комісія,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Chain,"The Beacon Chain was one element built in the infrastructure being built to scale Ethereum. It was the foundation for a transition from a Proof of Work (PoW) consensus mechanism to Proof of Stake (PoS). For more information, see this guide.",,,Blockchain term,信标链,Chaîne phare,Beacon Chain,Beacon Chain,Beacon Chain,비콘 체인,بیکن چین,Beacon Chain,Бикончейн,cadena Beacon,Beacon Chain,Beacon Chain,İşaret Zinciri,Chuỗi Beacon,سلسلة المنارة (Beacon),信標鏈,Beacon Chain,Κύρια αλυσίδα,बीकन चेन,Beacon-lánc,ビーコンチェーン,Łańcuch śledzący (beacon chain),Beacon Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binance,"Binance is a centralized cryptocurrency exchange which operates in multiple countries, as well as two different blockchains, the BNB Chain and the BNB Smart Chain.",,,Brand name,Binance,Binance,Binance,Binance,Binance,바이낸스,بایننس,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoin / bitcoin (BTC),"Bitcoin is a decentralized digital currency or cryptocurrency, which was created in 2009 by an unknown person or group using the name Satoshi Nakamoto. Bitcoin transactions are recorded on a public digital ledger called the blockchain, which is maintained by a network of computers worldwide. Bitcoin transactions are made directly between users without the need for intermediaries like banks or financial institutions. Users can send and receive Bitcoins using digital wallets.

One of the key features of Bitcoin is its limited supply. There will only ever be 21 million Bitcoins in existence, which helps to prevent inflation and maintain the value of the currency. The plural of bitcoin is just bitcoin; the abbreviation is BTC, with a space: I have 250 BTC.
",,,Brand name,比特币 / 比特币（BTC）,Bitcoin / bitcoin (BTC),Bitcoin / Bitcoin (BTC),Bitcoin / bitcoin (BTC),Bitcoin / bitcoin (BTC),비트코인 / 비트코인(BTC),بیت‌کوین (BTC),Bitcoin / bitcoin (BTC),Биткойн/ биткойн (BTC),Bitcoin / bitcoin (BTC),Bitcoin / bitcoin (BTC),บิตคอยน์,Bitcoin / bitcoin (BTC),Bitcoin/bitcoin (BTC),البيتكوين / بيتكوين (BTC),比特幣,bitcoin (BTC),Bitcoin / bitcoin (BTC),Bitcoin / bitcoin (BTC),Bitcoin/bitcoin (BTC),ビットコイン / ビットコイン (BTC),Bitcoin / bitcoin (BTC),Біткойн/біткойн (BTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block (noun),"If we think of a blockchain as consisting of a ledger that is being constantly synced between any number of different nodes (indeed, ""distributed ledger technology"" is another phrase used to describe it), imagine that after a certain number of transactions have been added to the ledger and consensus has been reached among the nodes that the transactions are valid, then they are cryptographically locked into a ""block"" and officially recorded; this ""block"" forms the basis for the next one; in this way, they are all linked together in a chain, hence--blockchain.",,,Blockchain term,区块,Bloc (nom),Block,block ,blocco (noun),블록(명사),بلاک,bloco,блок,bloque,block (pangngalan),บล็อก,blok,khối (danh từ),كُتلة,區塊,blok,ομάδα καταχωρίσεων,ब्लॉक (नाउन),blokk,ブロック,Blok,блок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block explorer,"A blockchain explorer is an application, most often a website along with a corresponding API, that displays information about blockchain activity in a more human-friendly way. While a blockchain is designed to keep information forever, and be “readable by anyone”, finding the specific information you’re interested in may require indexing data off the blockchain–that is, sorting it according to given categories (sender address, token type, etc) into a separate database which can then be queried by the user; this essential function is provided by blockchain explorers. A prominent example is etherscan, which also offers explorers on a number of other networks.",,,Blockchain term,区块浏览器,explorateur de blocs,Block-Explorer,block explorer,block explorer,블록 탐색기,مرورگر بلاک,explorador de blocos,обозреватель блоков,explorador de bloques,block explorer,ส่วนอธิบายบล็อก,blok gezgini,trình khám phá khối,مستكشف البلوكتشين,區塊鏈瀏覽器,blokverkenner,εξερευνητής ομάδας καταχωρίσεων,ब्लॉक एक्सप्लोरर,blokk felfedező,ブロックエクスプローラー,Eksplorator bloków,оглядач блоків,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block height,"The number of blocks connected together in the blockchain. For example, Height 0 would be the very first block, which is also called the Genesis Block.",,,Blockchain term,区块高度,hauteur de bloc,Blockhöhe,ketinggian block,altezza del blocco,블록 높이,ارتفاع بلاک,altura do bloco,высота блока,altura del bloque,taas ng block,เลขบล็อก,blok yüksekliği,chiều cao khối,موقع الكتلة,區塊高度,blokhoogte,ύψος ομάδας καταχωρίσεων,ब्लॉक हाइट,blokkmagasság,ブロックの高さ,Wysokość bloku,висота блоку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block reward,"The reward given to a miner or validator after it has successfully hashed a transaction block. Block rewards can be a mixture of coins and transaction fees. The composition depends on the policy used by the cryptocurrency in question, and whether all of the coins have already been successfully mined. The current block reward for the Bitcoin network is 12.5 bitcoins per block.",,,Blockchain term,区块奖励,récompense de bloc,Blockbelohnung,imbalan block,ricompensa del blocco,블록 보상,پاداش بلاک,recompensa do bloco,вознаграждение за блок,recompensa por bloque,gantimpala ng block,รางวัลการขุดบล็อก,blok ödülü,phần thưởng khối,مكافأة الكتلة,區塊獎勵,blokbeloning,ανταμοιβή ομάδας καταχωρίσεων,ब्लॉक रिवॉर्ड,blokkjutalom,ブロック報酬,Nagroda za blok,винагорода за блок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block time,"When we talk about 'block time', we're referring to how long it takes for a block of transactions (see 'block') to be confirmed by the network, either by miners under PoW or by validators under PoS. See also 'Proof of Work', 'Proof of Stake'.",,,Blockchain term,区块时间,délai du bloc,Blockzeit,waktu block,orario creazione blocco,블록타임,زمان بلاک,tempo do bloco,время блока,tiempo del bloque,oras ng block,ระยะเวลาบล็อก,blok süresi,thời gian đóng khối,وقت الكتلة,新的區塊在區塊鏈中被生成的時間間隔,bloktijd,χρόνος ομάδας καταχωρίσεων,ब्लॉक टाइम,blokkidő,ブロックタイム,Czas wydobycia bloku,час блокування,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockchain,"A digital ledger comprised of unchangeable, digitally recorded data in packages called blocks. Each block is ‘chained’ to the next block using a cryptographic signature. Ethereum is a public blockchain, open to the world; its digital ledger is distributed, or synced, between many nodes; these nodes arrive at consensus regarding whether a transaction is valid before encrypting it, along with a number of other valid transactions, into a block. For more on blockchain technology, see here. See also 'block'.",,,Blockchain term,区块链,blockchain/chaîne de blocs,Blockchain,blockchain,blockchain,블록체인,بلاک‌چین,blockchain,блокчейн,cadena de bloques,blockchain,บล็อกเชน,blokzinciri,chuỗi khối,سلسلة الكتل (البلوكتشين),區塊鏈,blockchain,αλυσίδα κατανεμημένης εγγραφής,ब्लॉकचेन,blokklánc,ブロックチェーン,Blockchain (łańcuch bloków),блокчейн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockchain,"A digital ledger comprised of unchangeable, digitally recorded data in packages called blocks. Each block is ‘chained’ to the next block using a cryptographic signature. Ethereum is a public blockchain, open to the world; its digital ledger is distributed, or synced, between many nodes; these nodes arrive at consensus regarding whether a transaction is valid before encrypting it, along with a number of other valid transactions, into a block.",,,Blockchain term,区块链浏览器,Explorateur de blockchain,Blockchain-Explorer,Blockchain explorer,Blockchain explorer,블록체인 탐색기,مرورگر بلاک‌چین,Explorador de blockchain,Обзреватель блокчейна,explorador de la cadenas de bloques,Blockchain explorer,ส่วนอธิบายบล็อกเชน,Blokzinciri gezgini,Trình khám phá chuỗi khối,مستكشف البلوكتشين,區塊鏈瀏覽器,blockchain-verkenner,Εξερευνητής αλυσίδας κατανεμημένης εγγραφής,ब्लॉकचेन एक्सप्लोरर,blokklánc felfedező,ブロックチェーンエクスプローラー,Eksplorator blockchain,Блокчейн-оглядач,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockchain explorer,"A blockchain explorer is an application, most often a website along with a corresponding API, that displays information about blockchain activity in a more human-friendly way. While a blockchain is designed to keep information forever, and be ""readable by anyone"", finding the specific information you're interested in may require indexing data off the blockchain--that is, sorting it according to given categories (sender address, token type, etc) into a separate database which can then be queried by the user; this essential function is provided by blockchain explorers. A prominent example is etherscan, which also offers explorers on a number of other networks.",,,Blockchain term,区块链不可能三角,Trilemme de la blockchain,Blockchain-Trilemma,blockchain trilema,Trilemma della blockchain ,블록체인 트릴레마,سه‌گانه بلاک‌چین,trilema de blockchain,трилемма блокчейна,trilema de la cadenas de bloques,blockchain trilemma,บล็อกเชนตรีบถ,blokzinciri çıkmazı,bộ ba bất khả thi của chuỗi khối,المعضلة الثلاثية الأبعاد لسلاسل البلوكتشين,區塊鏈的三難困境,blockchain-trilemma,τρίλημα αλυσίδας κατανεμημένης εγγραφής,ब्लॉकचेन ट्राइलेमा,blokklánc trilemma,ブロックチェーンのトリレンマ,Trylemat łańcucha bloków,трилема блокчейна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockchain trilemma,"Tradeoffs facing those building public blockchain networks vis-a-vis three elements: decentralization, security, and scalability (or speed). These three elements are either necessary or desireable in public distributed networks, and often, designing a system that optimizes for one compromises on another.",,,Blockchain term,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB 체인,زنجیره BNB,BNB Chain,BNB Chain,BNB Chain,BNB Chain,เชน BNB,BNB Chain,BNB Chain,سلسلة BNB,BNB Chain,BNB Chain,BNB Chain,BNB chain,BNB-lánc,BNB チェーン,BNB Chain,Мережа BNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB Chain,Build N Build (BNB) Chain is a distributed blockchain network upon which developers and innovators can build decentralized applications (DApps) as part of the move to Web3. BNB chain ,,,Brand name,赏金 / 漏洞赏金,prime/prime de bug,Belohnung / Fehlerbelohnung,bounty / bug bounty,bounty / bug bounty,바운티 / 버그바운티,پاداش پیدا کردن اشکال,recompensa / recompensa por bugs,вознаграждение / вознаграждение за уязвимость,recompensa por errores,bounty / bug bounty,รางวัล / รางวัลรายงานช่องโหว่,bounty / hata ödülü,tiền thưởng/tiền thưởng nhờ tìm ra lỗi,مكافأة / مكافأة اكتشاف الخلل,漏洞回報獎勵,bounty/bug bounty,επιβράβευση / επιβράβευση σφαλμάτων,बाउंटी / बग बाउंटी,bounty/bug bounty,報奨金 / バグ発見報奨金,Nagroda bug bounty,винагорода за помилку/винагорода за виявлення вразливостей,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bounty / bug bounty,A reward offered for exposing vulnerabilities and issues in computer code.,,,Ecosystem term,脑钱包,portefeuille mnémotechnique,Brain-Wallet,brain wallet,brain wallet,브레인월렛,کیف پول ذهنی,brain wallet,брейн-кошелек,monedero memorizado,brain wallet,วอลเล็ตความจำ,beyin cüzdanı,ví trí nhớ,محفظة الدماغ,腦錢包,brainwallet,πορτοφόλι με φράσεις πρόσβασης,ब्रेन वॉलेट,„agy” tárca,ブレインウォレット,Brain wallet,мозковий гаманець,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brain wallet,"A blockchain account generated from a seed phrase or password or passphrase of your choosing. Humans are not capable of generating enough entropy, or randomness, and therefore the wallets derived from these phrases are insecure; brain wallets can be brute forced by super fast computers. For this reason, brain wallet are insecure and should not be used. See also 'Seed phrase / Secret Recovery Phrase'.",,,Ecosystem term,Brave,Brave,Brave,Brave,Brave,브레이브,بریو,Brave,Brave,Brave,Brave,Brave,Brave,Brave,بريفّ,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave,"Brave is a free and open-source web browser developed by Brave Software, Inc., based on the Chromium web browser. It has a built-in crypto wallet that allows users to connect to the web3 ecosystem. ",,,Brand name,跨链桥,Passerelle,Bridge,Bridge,Bridge,브릿지,پل,Ponte,Мост,puente,Bridge,สะพาน,Köprü,Cầu,جسر,橋,bridge,Γέφυρα,ब्रिज,"híd (noun), áthidalni (verb), Bridge (as in MetaMask Bridge)",ブリッジ,Most,Міст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
